"concern_id","concern","meaning","spring_cache","jcache_ehcache","caffeine_guava","hibernate_2lc","hazelcast_ignite","dotnet_imemorycache_idistributedcache","dotnet_hybridcache","fusioncache","rails_activesupport_cache","symfony_cache","laravel_cache","py_functools_cachetools","py_dogpile_cache","py_diskcache","py_joblib_memory","py_django_cache","py_django_cachalot_cacheops","py_flask_caching","py_aiocache","py_cashews","py_fastapi_cache2","go_ristretto_groupcache","node_lrucache_cachemanager","nextjs_apollo_dataloader","varnish_nginx_fastly"
"3.5","Namespace / prefix / key version","Logical partitioning of the key space","Y - cache names","Y - cache names","N - one per instance","Y - region names","Y - map names","P - manual","Y","Y","Y - namespace","Y - pools","Y - prefix","N","Y - regions + key_mangler","Y - tags / separate caches","Y - location subdir","Y - KEY_PREFIX + VERSION","Y - per model","Y - CACHE_KEY_PREFIX","Y - namespace","Y - key prefixes","Y - namespace","N","Y - Keyv namespace","Y - tags/paths","Y - surrogate keys"
"3.6","Cardinality control","Bounding an unbounded key space","N - design duty","N - design duty","P - maximumSize","N - design duty","P - eviction config","P - SizeLimit","N - design duty","N - design duty","P - size bytes","N - design duty","N - design duty","P - maxsize","N - design duty","P - size_limit","P - bytes_limit","P - MAX_ENTRIES","N - design duty","N - design duty","P - backend size","N - design duty","N - design duty","P - cost budget","P - maxSize","N - design duty","P - storage sizing"
"4.1","Named caches / regions / pools","Multiple independent logical caches","Y","Y","P - separate instances","Y - regions","Y - maps","P - multiple instances","P","Y - named instances","P - multiple stores","Y - pools","Y - stores","P - separate cache objects","Y - regions","Y - FanoutCache shards","P - separate Memory objects","Y - CACHES aliases","P","P - multiple instances","Y - namespaces/aliases","Y - prefix routing to backends","Y - namespaces","N","Y - multi-store","P","Y - vcl backends"
"4.2","Per-region configuration","TTL, size, backend per region","P - provider specific","Y","Y - per builder","Y","Y","Y - per instance","Y","Y - per instance","Y","Y","Y","Y - per object","Y - per region","Y - per cache","Y - per instance","Y","P","Y","Y","Y","Y","P","Y","P","Y"
"4.3","Region-wide clear","Flush one region","Y - allEntries=true","Y - removeAll()","Y - invalidateAll()","Y - evictRegion","Y - clear()","P - dispose/recreate","Y - by tag","Y","Y - clear","Y - clear","Y - flush","Y - cache.clear()","Y - region.invalidate()","Y - clear() / evict(tag)","Y - memory.clear()","P - delete_pattern (django-redis)","Y - invalidate_model","Y - cache.clear()","Y - clear(namespace=)","Y - delete_match(user:*)","Y - clear(namespace)","N","Y - clear/reset","Y - revalidateTag","Y - BAN by regex"
"5.1","TTL-only / eventual","Staleness accepted, no coordination","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y - TTLCache","Y - expiration_time","Y - expire=","N - no TTL","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y"
"5.2","Clear-all","Global flush","Y","Y","Y","Y","Y","P","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y - cache.clear()","Y - invalidate_all()","Y","Y","Y","Y","Y","Y","P","Y - BAN .*"
"5.3","Explicit key eviction","Delete a known key","Y - @CacheEvict(key)","Y - @CacheRemove","Y - invalidate(k)","Y - evict(entity,id)","Y - remove","Y - Remove","Y - RemoveAsync","Y","Y - delete","Y - delete","Y - forget","P - cache.pop(key(...))","Y - fn.invalidate(*args)","Y - delete","N","Y - delete","Y - invalidate_obj","Y - delete_memoized","Y - delete","Y - delete","Y","Y - Del","Y - delete","Y - revalidatePath","Y - PURGE url"
"5.4","Tag / dependency invalidation","Evict by label, not by key","N","N","N","P - table space","N","Y - change tokens","Y - RemoveByTagAsync","Y - tags","P - delete_matched","Y - invalidateTags","Y - tags()->flush()","N","N","Y - set(tag=) + evict(tag)","N","P - delete_pattern","Y - cacheops conjunction sets","N","N","Y - tags=[...] + delete_tags","N","N","P - Keyv namespaces","Y - cache tags","Y - surrogate keys / xkey"
"5.5","Generational (version-bump) keys","Bump a version to orphan an unbounded key set","N - manual","N","N","Y - entity version/timestamp","N","N","N","N","Y - cache_version / Russian doll","P - pool version","N","N","Y - region.invalidate(hard=False)","N","P - code hash generation","Y - incr_version / per-key version","P","N","N","P - prefix bump","N","N","N","Y - build/deployment ids","Y - versioned URLs"
"5.6","Automatic data-dependency tracking","Cache knows which tables/objects a result depends on","N","N","N","Y - query cache by table space","N","Y - SqlCacheDependency / file","N","N","P - via updated_at","N","N","N","N","N","Y - rehash on function source change","N","Y - automatic table/model level","N","N","N","N","N","N","P - route dependency graph","N"
"5.7","Event-driven invalidation","Domain events/signals trigger eviction","Y - application events","Y - CacheEntryListener","Y - RemovalListener","Y - internal","Y - EntryListener","Y - ChangeToken.OnChange","P","Y - events","Y - after_commit","Y","Y - events","N","N","N","N","P - signals by hand","Y - ORM signals","N","N","Y - @cache.invalidate on mutator","N","N","P","Y - on-demand revalidation API","Y - PURGE from app"
"5.8","Server-assisted push invalidation","Server notifies clients (tracking, pub/sub)","P - provider","P - clustered Ehcache","N","N","Y - near-cache invalidation","N","P - backplane","Y - backplane + auto-recovery","N","N","N","N","N","N","N","P - redis-py client-side caching","N","N","N","Y - client_side=True (RESP3)","N","Y - groupcache peers","P","Y - revalidation API","Y - BAN/PURGE broadcast"
"5.9","Write-update in place","Refresh entry instead of evicting","Y - @CachePut","Y - @CachePut","Y - put","Y - on update","Y - put","Y - Set","Y - SetAsync","Y","Y - write","Y","Y - put","P - direct mapping write","Y - fn.set(value,*args)","Y - set","N","Y - set","Y","Y","Y","Y","Y","Y - Set","Y - set","P","P - cache warm"
"6.1","Distributed backend","Shared across processes/hosts","P - via provider","Y - clustered","N - local only","P - provider","Y","Y - IDistributedCache","Y - L2","Y - L2","Y - Redis/Memcached","Y - Redis/Memcached","Y - Redis/Memcached","N","Y - redis/memcached/dbm","P - shared filesystem","P - shared filesystem","Y","Y - Redis backed","Y","Y","Y","Y","Y - groupcache peers","Y - Redis via Keyv","Y - shared cache handler","Y - cluster"
"6.2","Hybrid L1+L2 / near cache","Local tier over a shared tier","P - CompositeCacheManager","Y - heap/offheap/disk tiering","N - used as the L1","P","Y - near cache","P - manual","Y - built-in","Y - built-in","P - local_cache middleware","Y - chain adapter","N","N","P - chained regions manually","N","N","P - manual","P","P","P","Y - client-side L1","N","Y - hot cache","Y - multi-store cache-manager","Y - router + full-route cache","Y - edge + shield tiers"
"6.3","Backplane broadcast","Invalidation propagated to all L1s","P - provider","Y - clustered","N","P - provider","Y","N","P","Y","N","N","N","N","N","N","N","P - redis-py tracking","P","N","N","Y - Redis invalidation channel","N","Y - peer coordination","P","Y - on-demand revalidation","Y - BAN/PURGE broadcast"
"6.4","Write-race guards","CAS, Lua, WATCH, atomic compute","P - provider","P","Y - atomic compute","Y - READ_WRITE soft locks","Y - entry processor","Y - atomic GetOrCreate","Y","Y","Y - increment / CAS","P","Y - Cache::lock","Y - lock= parameter","Y - distributed_lock=True","Y - SQLite transactions","P","Y - add/incr atomic","Y - Lua scripts","P","Y - RedLock / OptimisticLock","Y - locks","N","Y - singleflight","P","P","Y - request coalescing"
"6.5","Idempotent invalidation delivery","At-least-once invalidation messaging","N - design duty","N - design duty","N - design duty","N - design duty","P","N - design duty","N - design duty","P - auto-recovery","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","P - purge retries"
"7.1","Evict after commit","Invalidation tied to the transaction boundary","Y - TransactionAwareCacheManagerProxy","P - JTA","N","Y - automatic","P","N","N","N","Y - after_commit","N","N","N","N","P - transact()","N","P - transaction.on_commit","Y - cachalot commit-aware","N","N","Y - cache.transaction()","N","N","N","N","n/a"
"7.2","ORM concurrency strategy","Formalized staleness contract for entity caches","N","P - JTA caches","N","Y - READ_ONLY/NONSTRICT/READ_WRITE/TRANSACTIONAL","N","N","N","N","N","N","N","N","N","N","N","N","P","N","N","N","N","N","N","N","n/a"
"7.3","Request-scoped read-your-writes","Identity map / per-request layer","N","N","N","Y - session L1","N","N","N","N","Y - with_local_cache","N","N","N","N","N","N","N","P - cacheops local cache","N","N","N","N","P - context-scoped","P","Y - DataLoader per request","n/a"
"8.1","Single-flight lock","One loader per key under concurrency","Y - sync=true","P - provider","Y - loading lock","Y - soft lock","P","P - manual lock","Y - built-in","Y - built-in","P - race_condition_ttl","Y - lock adapter","Y - Cache::lock","Y - lock= parameter","Y - dogpile lock","P - transact()","N","N","Y - Lua guarded","N","Y - @cached_stampede","Y - @cache.locked / lock=True","N","Y - singleflight","Y - in-flight dedupe","Y - request memoization","Y - proxy_cache_lock"
"8.2","Stale-while-revalidate / early refresh","Serve stale, refresh in background","N","N","Y - refreshAfterWrite","N","N","N","N","Y - fail-safe + soft TTL","P - race_condition_ttl","Y - early expiration","N","N","Y - soft invalidation + async runner","N","N","N","N","N","N","Y - @cache.early / @cache.soft","N","P","Y - allowStale","Y - ISR","Y - grace / use_stale updating"
"8.3","Probabilistic early expiry","Desynchronize expiries (XFetch)","N","N","N","N","N","N","N","Y - jitter","N","Y - probabilistic","N","N","N","N","N","N","N","N","N","Y - early refresh ratio","N","N","N","N","P - jitter"
"8.4","Hot-key mitigation","Replication/jitter for skewed access","N","N","P","N","P - near cache","N","Y - L1 absorbs","Y - L1 absorbs","P","P - chain adapter","N","N","N","Y - FanoutCache shards","N","N","N","N","N","Y - @cache.hit(cache_hits=N)","N","Y - hot cache","P","P","Y - shielding"
"9.1","Absolute vs sliding TTL","Expiry semantics","P - provider","Y - ExpiryPolicy","Y - write vs access","Y - TTL + TTI","Y","Y - both","Y - both","Y - both","Y - expires_in","Y","Y","Y - TTLCache absolute","Y - absolute","Y - absolute","N","Y - TIMEOUT + touch","Y - per model","Y - timeout","Y - ttl","Y - ttl + soft TTL","Y - expire","P","Y - ttl","Y - revalidate","Y - TTL + s-maxage"
"9.2","Per-entry / write-vs-access expiry","Fine-grained expiry policy","P","Y - per-entry ExpiryPolicy","Y - Expiry per entry","P","P","Y - per entry","Y - per entry","Y - per entry + adaptive","Y - per entry","Y - per item","Y - per key","Y - TLRUCache","Y - callable expiration_time","Y - per-key expire","N","Y - per key","Y - per model/queryset","Y - per decorator","Y - per call","Y - per call, dynamic","Y - per route","P","Y - per entry","Y - per fetch","Y - per object TTL"
"9.3","Eviction policy choice","LRU / LFU / TinyLFU / FIFO / random","P - provider","Y - provider","Y - W-TinyLFU","P - provider","Y - LRU/LFU/random","P - LRU-ish","P","P","P - backend","P - backend","P - backend","Y - LRU/LFU/RR/TTL classes","P - backend","Y - 4 cull policies","P - LRU by access time","P - backend","P - Redis policy","P - backend","P - backend","P - backend","P - backend","Y - TinyLFU","Y - LRU","n/a","Y - LRU + nuke policy"
"9.4","Capacity by count vs weight","Entry count vs bytes/weight limits","P","Y - tier sizing","Y - Weigher","P","Y - size policies","Y - SizeLimit + Size","P","P","Y - size bytes","P","N","Y - maxsize + getsizeof","P","Y - size_limit bytes","Y - bytes_limit + reduce_size()","Y - MAX_ENTRIES","P","Y","Y - memory backend size","Y - memory backend size","P","Y - cost-based","Y - sizeCalculation/maxSize","n/a","Y - storage sizing"
"9.5","Eviction listener with cause","Callback with EXPLICIT/EXPIRED/SIZE/etc","N","Y - listeners","Y - RemovalCause","N","Y - listeners","Y - post-eviction callbacks","N","Y - events","N","N","N","Y - popitem override","N","Y - cull hooks","N","N","N","N","Y - plugins/hooks","Y - middlewares","N","Y - OnEvict with reason","Y - dispose(value,key,reason)","n/a","Y - VCL hooks"
"10.1","condition / unless predicate","Cache only when a predicate holds","Y - condition / unless","P - skipGet","N","N","N","N","N","Y - adaptive caching","Y - skip_nil / block logic","N","N","N","Y - should_cache_fn","N","N","N","Y - cacheops field conditions","Y - unless= / response_filter=","Y - noself / custom builder","Y - condition= callable","Y - status-code filter","N","N","Y - cache hints","Y - VCL vcl_backend_response"
"10.2","Null / negative caching control","Cache not-found, distinctly","Y - unless #result==null","P","Y - null means not cached","Y","P","P","Y - explicit null handling","Y","Y - skip_nil","P","N","Y - caches None","Y - NO_VALUE sentinel","Y","Y","Y - caches None","Y","Y","Y","Y - condition on None","Y","P","P","P","Y - cache 404s"
"10.3","Exception caching","Cache failures with short TTL","N","N","N","N","N","N","N","Y - fail-safe","N","N","N","N - exceptions not cached","N","N","N","N","N","N","N","Y - @cache.failover","N","N","P","N","Y - cache 5xx briefly"
"11.1","Pluggable serialization","Pickle/JSON/msgpack/protobuf","P - provider","Y - copiers/serializers","n/a - live objects","Y - configurable","Y - serializers","Y - for distributed","Y - pluggable serializers","Y - pluggable","Y - coder","Y - marshaller","Y - serializer","n/a - live objects","Y - backend serializers","Y - pickle + Disk subclass","Y - pickle + compress=","Y - per-backend serializer","Y","Y","Y - Json/Pickle/Msgpack","Y - pickle variants + signed (secret=)","Y - coders","P","Y - Keyv serialize","Y","n/a - bytes"
"11.2","Compression and size cap","Payload thresholds","P","P","n/a","P","Y - compression","P","Y","Y","Y - compress threshold","Y","P","n/a","P","Y - zlib via Disk","Y - compress=","Y - django-redis compressors","P","P","P","Y","P","P","P","P","Y - gzip/brotli + object size limits"
"11.3","Copy-on-get / mutability safety","Prevent callers mutating cached objects","N","Y - copy-on-read/write","N - shared refs","Y","Y - via serialization","N - live objects","Y - via serialization","Y","Y - dup/marshal","Y","Y","N - shared refs","Y - serialized copies","Y","Y + mmap_mode","Y - pickled copies","Y","Y","Y","Y","Y","N - shared refs","N - shared refs","P","n/a"
"11.4","Payload schema versioning","Safe deploys across value shape changes","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","P - cache_version","P - pool version","N - design duty","N - design duty","P - key_mangler prefix","N - design duty","P - source hash","P - VERSION setting","P","N - design duty","N - design duty","P - prefix","N - design duty","N - design duty","N - design duty","P - build id","P - versioned URLs"
"12.1","Per-request memoization","Request-local L0","N","N","N","Y - session","N","P - DI-scoped","P","P","Y - local cache middleware","Y - array adapter","N","P","N","N","N","N","Y - cacheops local cache","N","Y - memory namespace","Y","N","P - context-scoped","P","Y - DataLoader","n/a"
"12.2","Per-user/tenant/permission partitioning","Identity in the key or scope marker","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","P - key includes user","P","P","N - design duty","N - design duty","N - design duty","N - design duty","P - vary_on_cookie","N - design duty","N - design duty","N - design duty","P - key template","P - key_builder","N - design duty","N - design duty","Y - Apollo scope PRIVATE","Y - Vary / Cache-Control private"
"13.1","Hit/miss/eviction stats","Built-in counters","P - provider","Y - JMX MXBean","Y - recordStats()","Y - Statistics","Y","P - MemoryCacheStatistics","Y","Y - stats + events","Y - ActiveSupport::Notifications","Y","P","Y - cache_info()","N","Y - stats(enable=True)","P - verbose","N","Y - cachalot signals","N","Y - HitMissRatioPlugin/TimingPlugin","Y - hit/miss detection","N","Y - Metrics","Y - stats","P - cache debug output","Y - varnishstat"
"13.2","Metrics / tracing integration","Micrometer, Prometheus, OTel","Y - Micrometer","P - JMX","Y - Micrometer bridge","Y - Micrometer","Y - Prometheus","Y - OTel","Y - OTel","Y - OTel","Y - notifications","Y - data collector","P","N","N","N","N","P - third-party","P","P","Y - plugins","Y - Prometheus middleware","N","Y - Prometheus","P","P","Y - edge logs"
"13.3","Key introspection / dump","Enumerate or inspect entries","N","Y - iterate cache","Y - asMap()","P","Y - map view","N","N","Y","N","Y - dev toolbar","N","Y - mapping view","N","Y - iterate keys","Y - inspect store","P - keys() (django-redis)","P","N","P","Y - scan / get_match","N","P","Y - entries()","P","Y - varnishadm"
"14.1","Declarative per-region config","Config-file-driven setup","Y - properties","Y - XML/programmatic","Y - builder","Y - persistence.xml","Y - XML/YAML","Y - DI options","Y - DI options","Y - DI options","Y - environment config","Y - YAML pools","Y - config file","N - code only","Y - region.configure from settings","P","P","Y - CACHES setting","Y - settings","Y - CACHE_* config","Y - config dict","Y - cache.setup(url)","Y - init()","N","Y","Y - next.config","Y - VCL"
"14.2","Env-specific backend swap","Different store per environment","Y","Y","P","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","P","P","Y","Y","Y","Y","Y","Y","N","Y","P","Y"
"14.3","No-op / disable switch","Dummy cache or runtime disable","Y - NoOpCacheManager","P","P","Y - shared-cache-mode=NONE","P","P","N","Y","Y - NullStore","Y - NullAdapter","Y - null driver","P - maxsize=0","Y - null backend","P","Y - location=None","Y - DummyCache","Y - cachalot_disabled ctx","Y - NullCache","Y - memory/none","Y - cache.disabling() ctx","P","N","Y","P","Y - pass in VCL"
"14.4","Warming / priming","Preload on startup","N - manual","Y - loader preload","Y - putAll","P","Y - MapLoader loadAll","N","N","Y - prefetch","N","Y - cache warmers","N","N","Y - set upfront","Y","Y","P","Y - preload commands","N","P","P","N","P","P","Y - prerender","Y - crawler warm"
"15.1","Fail-open on backend error","Degrade to origin instead of failing","Y - CacheErrorHandler","P","n/a","P","P","N","P","Y - fail-safe + timeouts","Y - rescues errors","P","P","n/a","P","Y - SQLite retries","P","P - raises by default","P","P","P","Y - failover / safe mode","N","P","Y","P","Y - health probes"
"15.2","Timeouts / circuit breaker","Bound cache-call latency","N","P","N","N","Y - client timeouts","N","N","Y - soft/hard timeouts","N","N","N","N","N","Y - timeout=","N","Y - socket timeouts","P","P","Y - timeouts","Y - @cache.circuit_breaker","N","P","P","P","Y - saint mode"
"15.3","Stale-if-error","Serve expired data when origin fails","N","N","N","N","N","N","N","Y - fail-safe","N","N","N","N","Y - soft expiry fallback","N","N","N","N","N","N","Y - @cache.soft / failover","N","N","Y - allowStaleOnFetchRejection","Y - stale on error","Y - stale-if-error / saint mode"
"16.1","Clock control for tests","Injectable ticker / time freeze","N","P","Y - Ticker","N","N","Y - ISystemClock/TimeProvider","P","Y","Y - travel_to","Y","Y","P - timer=","Y - injectable clock","P","N","P - freezegun","P","P","P","P","P","P","P","P","P"
"16.2","Invalidation assertions","Spies, counters, events for tests","P - spy CacheManager","P","Y - stats","Y - statistics","P","P","P","Y - events","Y - notifications","P","Y - Cache::shouldReceive","Y - cache_info()","N","Y - stats()","N","P","Y - signals","Y","Y - plugins","Y - cache.detect context","N","Y - Metrics","Y - stats","P","Y - varnishlog"
"16.3","Cache-on/off equivalence","Ability to run the suite uncached","P - via NoOpCacheManager","P","P","Y - shared-cache-mode=NONE","P","P","N","P","Y - NullStore","Y - NullAdapter","Y - null driver","P","Y - null backend","P","Y - location=None","Y - DummyCache","Y - cachalot_disabled","Y - NullCache","P","Y - cache.disabling()","P","N","P","P","Y - pass in VCL"
"17.1","HTTP caching","ETag, Cache-Control, Vary, 304","Y - ShallowEtagHeaderFilter","N","N","N","N","Y - ResponseCaching/OutputCache","N","N","Y - fresh_when / stale?","Y - HttpCache kernel","Y - middleware","N","N","N","N","Y - cache_page / ConditionalGetMiddleware / vary_on_headers","N","Y - view caching + query string","N","N","Y - ETag + 304","N","N","Y - full HTTP semantics","Y - ETag/Cache-Control/Vary/304"
"17.2","CDN surrogate-key purge","Tag-based edge invalidation","N","N","N","N","N","N","N","N","P - via CDN","P - via CDN","P - via CDN","N","N","N","N","P - via CDN","N","N","N","N","N","N","N","Y - revalidateTag","Y - surrogate keys / cache tags"
"17.3","ORM identity map / 1st level","Session-scoped object cache","N","N","N","Y - session","N","Y - EF change tracker","N","N","Y - ActiveRecord query cache","Y - Doctrine UoW","Y - Eloquent","N","N","N","N","P - queryset cache","Y - cacheops local","N","N","N","N","N","N","Y - DataLoader","n/a"
"17.4","ORM 2nd-level entity + query cache","Cross-session ORM caching","P - via Hibernate","Y - as 2LC provider","Y - as 2LC provider","Y - native","Y - as 2LC provider","P - community EF","N","N","P - via gems","Y - Doctrine 2LC","N","N","Y - SQLAlchemy dogpile recipe","N","N","N","Y - cachalot/cacheops","N","N","N","N","N","N","P - Apollo response cache","n/a"
"17.5","Materialized read models","Cache promoted to a projection","N - design duty","N - design duty","N - design duty","P - @Subselect views","P - continuous query","N - design duty","N - design duty","N - design duty","P - counter caches","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","P - persistent store","P - materialized views","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","P - static generation","P - edge static"
"18.1","Cross-tenant key isolation","No leakage across principals","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","P - scope PRIVATE","P - Vary / private"
"18.2","Poisoning via unkeyed input","Attacker-controlled unkeyed variance","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","P - VaryBy config","N - design duty","N - design duty","P - Vary support","P - Vary support","N - design duty","N - design duty","N - design duty","N - design duty","N - design duty","P - vary_on_headers","N - design duty","P - query string keying","N - design duty","N - design duty","P - key_builder","N - design duty","N - design duty","P - cache key config","Y - explicit VCL hash / Vary"
"18.3","Encryption of cached data","Sensitive data at rest in a shared store","N - design duty","P - custom serializer","n/a","N - design duty","Y - enterprise encryption","N - design duty","P - custom serializer","P - custom serializer","P - custom coder","P - custom marshaller","N - design duty","n/a","P - custom backend","P - custom Disk","P - custom store","P - custom backend","N - design duty","N - design duty","P - custom serializer","P - signed pickle (secret=)","P - custom coder","N - design duty","N - design duty","N - design duty","P - TLS in transit only"
"18.4","Penetration / cardinality DoS guard","Bogus keys that never hit","P - via unless + size cap","P - size cap","P - maximumSize","N - design duty","P - eviction config","P - SizeLimit","N - design duty","N - design duty","P - size cap","N - design duty","N - design duty","P - maxsize","N - design duty","P - size_limit","P - bytes_limit","P - MAX_ENTRIES","N - design duty","N - design duty","P - backend size","P - rate_limit decorator","N - design duty","P - cost budget","P - maxSize","N - design duty","P - hit-for-pass / req limits"
"19.1","Async/await support","Native coroutine or reactive caching","Y - CompletableFuture/reactive","P","Y - AsyncLoadingCache","N","Y - async APIs","P","Y - async-first","Y - async-first","N","N","N","P - asyncache","P","N","N","P - acache API","N","N","Y - async-native","Y - async-native","Y - async-native","Y - goroutines","Y - promise-based","Y - async-native","n/a"
"19.2","Bulk multi-get/multi-set","get_many / @multi_cached","N","Y - getAll","Y - getAll","Y - batch fetch","Y - getAll","N","Y - batch APIs","Y","Y - fetch_multi / read_multi","Y - getItems","Y - many / putMany","N","Y - @cache_multi_on_arguments","P - loop","N","Y - get_many / set_many","Y","N","Y - @multi_cached","Y - get_many","N","Y - batch get","Y - mget","Y - DataLoader batching","n/a"
"19.3","Thread/process safety","Concurrent access guarantees","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","P - with lock=","Y","Y - thread and process safe","Y - process safe","Y","Y","Y","Y","Y","Y","Y","Y - single-threaded loop","Y","Y"
